id,title,overview,genre_ids,release_date,poster_path,is_modified,vote_average,vote_count,popularity
574475,Destino final: Lazos de sangre,"Acosada por una violenta pesadilla recurrente, la estudiante universitaria Stefanie se dirige a casa para localizar a la única persona que podría ser capaz de romper el ciclo y salvar a su familia de la espeluznante muerte que inevitablemente les espera a todos.","{27,9648}",2025-05-14,https://image.tmdb.org/t/p/w500/frNkbclQpexf3aUzZrnixF3t5Hw.jpg,FALSE,7.2,1039,1179.7021
552524,Lilo y Stitch,La conmovedora y divertidísima historia de una solitaria niña hawaiana y el extraterrestre fugitivo que la ayuda a reparar su desestructurada familia.,"{10751,878,35,12}",2025-05-17,https://image.tmdb.org/t/p/w500/tUae3mefrDVTgm5mRzqWnZK6fOP.jpg,FALSE,7.1,677,412.5716
1426776,Harta,"¿Cuál será la gota que colme el vaso? Un día devastador lleva al límite a una madre soltera y trabajadora, y la empuja a cometer un impactante acto de desesperación.","{53,18,80}",2025-06-05,https://image.tmdb.org/t/p/w500/eAf8Is1xX4gq4Jk14iFC1qhmT8R.jpg,FALSE,8.051,557,345.6187
1087891,Amateur,"Charlie Heller es un brillante pero introvertido decodificador de la CIA que trabaja en una oficina en el sótano de la sede de Langley. Su vida cambia radicalmente cuando su esposa muere en un ataque terrorista en Londres. Cuando sus supervisores se niegan a tomar cartas en el asunto, él mismo toma las riendas y se embarca en un peligroso viaje por todo el mundo para localizar a los responsables. Su inteligencia puede ser el arma definitiva para llevar a cabo su venganza.","{53,28}",2025-04-09,https://image.tmdb.org/t/p/w500/9WPWF0AmklsKclrXeyKXbQ543ZA.jpg,FALSE,6.924,559,334.9235
1087192,Cómo entrenar a tu dragón,"En la escarpada isla de Berk, donde vikingos y dragones han sido enemigos acérrimos durante generaciones, Hipo se desmarca desafiando siglos de tradición cuando entabla amistad con Desdentao, un temido dragón de la Furia Nocturna. Su insólito vínculo revela la verdadera naturaleza de los dragones y desafía los cimientos de la sociedad vikinga.","{28,10751,14}",2025-06-06,https://image.tmdb.org/t/p/w500/sGFO6VshDEQ9vX4tOSobLJpkNhq.jpg,FALSE,8.03,333,349.6505
1181039,La tumba del rey maldito,"Tres aventureros logran escapar del temible Pozo Fantasma de Jingjue, pero no salen ilesos: se infectan con una enfermedad mortal. Para salvarse, deben encontrar la mítica Perla de Haochen, escondida en la tumba del Rey Xian, que es la única capaz de romper la maldición de los ojos fantasmales. En su épica búsqueda, se enfrentan a trampas mortales en las tumbas antiguas.","{28,12,27}",2023-09-22,https://image.tmdb.org/t/p/w500/Ak5gLdMklxjPjKyUEUDK6P2wt2y.jpg,FALSE,8.0,3,327.0199
1442776,Guerra de mutantes,"El vertido de aguas residuales de una fábrica da origen a un lagarto gigante mutante. Después del accidente, el jefe ordena reunir a un grupo de vecinos para intentar dar caza a la bestia. El mejor cazador de la aldea, Hu Tianming, y la zoóloga Zhao Xiaoye logran localizar el escondite del lagarto gigante basándose en sus hábitos biológicos.","{28,53,27}",2024-03-27,https://image.tmdb.org/t/p/w500/nimnvsGwgJBPnsRrmdlIDi2Yhbn.jpg,FALSE,0.0,0,330.1801
1376434,Predator: Asesino de asesinos,"Esta antología original de animación narra las aventuras de tres de los guerreros más fieros de la historia de la humanidad: una saqueadora vikinga que guía a su hijo en su sangrienta búsqueda de la venganza, un ninja del Japón feudal que se enfrenta a su hermano samurái en una brutal batalla por la sucesión y un piloto de la Segunda Guerra Mundial que surca los cielos para investigar una amenaza extraterrestre contra los Aliados.","{16,28,878}",2025-06-05,https://image.tmdb.org/t/p/w500/qHDsrBZJRx6ZCO4tocFh3gnbosU.jpg,FALSE,7.994,551,242.0604
1240475,Caza al mal,"Narra la historia del agente de la policía de estupefacientes Huang Mingjin y el misterioso Wei Yunzhou. A través de medios y métodos completamente diferentes, en el proceso de cálculo y lucha entre ellos, desgarran la fachada de tranquilidad urbana, exponiendo la red subterránea de drogas tejida por la mano oculta ""Long Wang"".",{28},2024-02-12,https://image.tmdb.org/t/p/w500/n78hDmtawKOvJh3YLMcC5OJr2ER.jpg,FALSE,5.571,7,270.7634
1239193,Deep Cover: Actores encubiertos,"Kat es una profesora de teatro de improvisación que empieza a preguntarse si ha dejado pasar su oportunidad de triunfar. Cuando un policía encubierto le ofrece el papel de su vida, Kat recluta a dos de sus alumnos para infiltrarse en el mundo criminal londinense haciéndose pasar por peligrosos delincuentes.","{28,35,80}",2025-06-12,https://image.tmdb.org/t/p/w500/dpLNAIU8AjAxw39fZfSDt2AiwMs.jpg,FALSE,6.74,154,219.3617
870028,El contable 2,"Cuando un viejo conocido es asesinado, Wolff se ve obligado a resolver el caso. Al darse cuenta de que son necesarias medidas más extremas, Wolff recluta a su hermano Brax, distanciado y muy letal, para que le ayude. En colaboración con Marybeth Medina, descubren una conspiración mortal y se convierten en objetivo de una despiadada red de asesinos que no se detendrán ante nada para mantener sus secretos enterrados.","{9648,80,53}",2025-04-23,https://image.tmdb.org/t/p/w500/jcV9YfjBRo6occxqeWtEiyWwMoG.jpg,FALSE,7.201,867,223.2411
1127110,Diablo,,"{28,53}",2025-06-13,https://image.tmdb.org/t/p/w500/uFQduVyYIinJy3eLjozgfl6Xtcn.jpg,FALSE,6.871,31,236.7301
1379587,Utopia,"Un soldado investiga la desaparición de su esposa y se infiltra en las instalaciones creyendo que ha sido víctima de la trata. Descubre que se trata de un parque de fantasía futurista en el que realidad e ilusión se confunden, lo que complica su búsqueda de la verdad sobre el destino de la mujer.","{9648,53,28,878}",2024-12-09,https://image.tmdb.org/t/p/w500/81PlfsAsb2wLY56UsbnUpMn80xh.jpg,FALSE,5.432,37,186.4278
1289601,Lucha por tu vida,"Un instructor de artes marciales se enfrenta a la desaparición de dos de sus alumnos, lo que le lleva a un enfrentamiento directo con un grupo internacional de traficantes de niños.","{28,18,53}",2024-06-07,https://image.tmdb.org/t/p/w500/8iZZyL7FyC4wYipwKemvuf58U3R.jpg,FALSE,7.077,39,197.0727
1233413,Los pecadores,"Tratando de dejar atrás sus problemáticas vidas, dos hermanos gemelos regresan a su pueblo natal para empezar de nuevo, solo para descubrir que un mal aún mayor les espera para darles la bienvenida.","{27,53,14}",2025-04-16,https://image.tmdb.org/t/p/w500/jIVa5m9s7bKYdI0KH8wFw1qLxHl.jpg,FALSE,7.549,1563,197.5341
1100988,28 años después,"Años transcurridos tras los sucesos de ""28 semanas después"", el virus de la ira ha regresado y un grupo de supervivientes debe sobrevivir en un mundo asolado por hordas de infectados. Rodada con un iPhone 15 Pro Max y con la ayuda de numerosos accesorios especializados.","{27,53,878}",2025-06-18,https://image.tmdb.org/t/p/w500/cn4PNK6FQnaUDDqu1vhfqZAZd39.jpg,FALSE,7.344,109,181.447
950387,Una película de Minecraft,"Cuatro inadaptados se encuentran luchando con problemas ordinarios cuando de repente se ven arrastrados a través de un misterioso portal al Mundo Exterior: un extraño país de las maravillas cúbico que se nutre de la imaginación. Para volver a casa, tendrán que dominar este mundo mientras se embarcan en una búsqueda mágica con un inesperado experto artesano, Steve.","{10751,35,12,14}",2025-03-31,https://image.tmdb.org/t/p/w500/rZYYmjgyF5UP1AVsvhzzDOFLCwG.jpg,FALSE,6.508,1842,178.9916
1017163,Fuerza bruta: Castigo,"Mientras investigan una aplicación de tráfico de drogas, Ma Seok-do y su equipo descubren una conexión entre el desarrollador de la aplicación, asesinado en Filipinas, y una organización de apuestas ilegales online. Mientras tanto, en Filipinas, Baek Chang-gi controla el mercado coreano de apuestas ilegales y siembra el terror con secuestros, agresiones y asesinatos. Su socio, el genio informático Chang Dong-cheol, planea un plan aún mayor en la propia Corea. Para poner fin a la creciente amenaza, el detective Ma amplía su operación proponiendo una alianza inesperada... Cuarta entrega de la exitosa franquicia de acción surcoreana 'The Roundup'.","{28,80,18,53,35}",2024-04-24,https://image.tmdb.org/t/p/w500/h6DvCL25R61iRzN7qkUnFg6O33A.jpg,FALSE,6.854,140,144.8015
1450599,K.O.,Un exluchador debe encontrar al hijo de un rival al que mató por accidente hace años y se enfrenta a una violenta banda criminal en Marsella.,"{28,18,12}",2025-06-05,https://image.tmdb.org/t/p/w500/uTbQg4zQ0eGXlKl8imLu64LLJQX.jpg,FALSE,6.616,134,141.2367
666154,Kayara. La guerrera del imperio Inca,"Una joven inca, apasionada por el trabajo de los mensajeros Chasqui, sueña con unirse a este grupo exclusivo de hombres encargados de llevar mensajes a lo largo del vasto Imperio Inca. Desafiando las estrictas normas de género y las tradiciones de su sociedad, la joven lucha contra las expectativas impuestas y enfrenta numerosos obstáculos en su búsqueda por cumplir su ambición. A pesar de las adversidades, su determinación y coraje la impulsan a romper barreras y a demostrar que su lugar está en el corazón del imperio.","{12,16,10751}",2025-01-02,https://image.tmdb.org/t/p/w500/A1DSh29atQjLZCVCddMyGw1mbM8.jpg,FALSE,7.657,51,145.089
1315988,Mikaela,"Víspera de Reyes. Una tormenta de nieve sin precedentes asola España. En medio del caos de una autopista colapsada, un grupo de atracadores aprovecha la oportunidad para asaltar un furgón blindado. A escasos metros se encuentra Leo (Antonio Resines), un policía en las últimas que no tiene nada que perder. Con la ayuda inesperada de una joven, juntos tratarán de evitar que la banda huya con el botín en una persecución a contrarreloj en medio del temporal.","{28,53}",2025-01-31,https://image.tmdb.org/t/p/w500/jm6lNbpmKcxX6M0pieaKhP6hs3w.jpg,FALSE,6.196,51,136.4305
1152619,Possessions,,{27},2024-04-12,https://image.tmdb.org/t/p/w500/39a7zYZvkGfs7EOVVK3dQlWyYJ0.jpg,FALSE,4.0,18,133.4634
541671,Ballerina,"Eve Macarro es una asesina entrenada por la Ruska Roma desde su infancia, la misma organización criminal encargada del adiestramiento de John Wick. En esta violenta historia de venganza, Eve intentará por todos los medios averiguar quién está detrás del asesinato de su padre. En su lucha por conocer la verdad, tendrá que atenerse a las normas de la Alta Mesa y, por supuesto, a las del Hotel Continental, donde descubrirá que existen secretos ocultos sobre su pasado.","{28,53,80}",2025-06-04,https://image.tmdb.org/t/p/w500/gQCrYmvCK7JCLXjCGTMRF5Lzr5c.jpg,FALSE,7.092,333,124.3866
575265,Misión: Imposible - Sentencia final,"El agente Ethan Hunt continúa su misión de impedir que Gabriel controle el tecnológicamente omnipotente programa de IA conocido como ""the Entity"".","{28,12,53}",2025-05-17,https://image.tmdb.org/t/p/w500/haOjJGUV00dKlZaJWgjM1UD1cJV.jpg,FALSE,7.156,815,124.8486
1284120,La hermanastra fea,"Elvira lucha contra su hermosa hermanastra en un reino donde la belleza reina suprema. Ella recurre a medidas extremas para cautivar al príncipe, en medio de una despiadada competición por la perfección física.","{27,35,14,18}",2025-03-07,https://image.tmdb.org/t/p/w500/mk4vGUy03tUCgJsOuwkYy877RYo.jpg,FALSE,7.1,190,106.4595
1197306,A Working Man,"Levon Cade dejó atrás una condecorada carrera militar en las operaciones encubiertas para vivir una vida sencilla trabajando en la construcción. Pero cuando la hija de su jefe, que para él es como de la familia, es secuestrada por traficantes de personas, su búsqueda para traerla a casa descubre un mundo de corrupción mucho mayor de lo que jamás podría haber imaginado.","{28,80,53}",2025-03-26,https://image.tmdb.org/t/p/w500/aG50Ad3UV8cCQWpNWSHHUqgKGNB.jpg,FALSE,6.7,1268,105.6752
1225916,3ão: Uma História Sem Fim,,"{10751,12}",2023-12-11,https://image.tmdb.org/t/p/w500/ghNV52iBTQgtkd0nFZkAyvngCbr.jpg,FALSE,8.375,4,22.0703
447273,Blancanieves,"Tras la desaparición del benévolo Rey, la Reina Malvada dominó la otrora bella tierra con una vena cruel. La princesa Blancanieves huye del castillo cuando la Reina, celosa de su belleza interior, intenta matarla. En lo profundo del oscuro bosque, se topa con siete enanos mágicos y un joven bandido llamado Jonathan. Juntos, luchan por sobrevivir a la implacable persecución de la Reina y aspiran a recuperar el reino en el proceso.","{10751,14}",2025-03-12,https://image.tmdb.org/t/p/w500/sm91FNDF6OOKU4hT9BDW6EMoyDB.jpg,FALSE,4.281,1148,101.2814
1097311,Echo Valley,"Kate es una madre que trata de reconducir su relación con su problemática hija Claire. La situación se vuelve crítica cuando Claire aparece sin avisar en casa de Kate, histérica y cubierta de la sangre de otra persona. A medida que Kate trata de desvelar la terrible verdad de lo sucedido, descubrirá hasta qué punto puede llegar una madre para tratar de salvar a su hija.","{53,18}",2025-06-13,https://image.tmdb.org/t/p/w500/1E4WCgTodyS7zo8pSp1gZlPO0th.jpg,FALSE,6.432,117,95.8215
803796,Las guerreras k-pop,"Cuando no están llenando estadios, las superestrellas del K-pop Rumi, Mira y Zoey usan sus poderes secretos para proteger a sus fans de una amenaza sobrenatural.","{16,14,28,10402,35}",2025-06-20,https://image.tmdb.org/t/p/w500/swQRKmW7RLhncPYHvM0RHz8b7bT.jpg,FALSE,8.4,26,95.2883
1403735,లైలా,,"{35,10749}",2025-02-14,https://image.tmdb.org/t/p/w500/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,FALSE,5.8,5,96.7669
1449951,Snow White,"Cuando los celos de la Reina se vuelven mortales, Blancanieves debe unir fuerzas con los gnomos para luchar contra la ira de su madrastra.","{16,10751,14}",2025-03-07,https://image.tmdb.org/t/p/w500/pEK0Ir45l1e0QvpBTsCu0hVwTDm.jpg,FALSE,7.429,7,101.6234
10191,Cómo entrenar a tu dragón,"Ambientada en el mítico mundo de los rudos vikingos y los dragones salvajes, y basada en el libro infantil de Cressida Cowell, esta comedia de acción narra la historia de Hipo, un vikingo adolescente que no encaja exactamente en la antiquísima reputación de su tribu como cazadores de dragones. El mundo de Hipo se trastoca al encontrar a un dragón que le desafía a él y a sus compañeros vikingos, a ver el mundo desde un punto de vista totalmente diferente.","{14,12,16,10751}",2010-03-18,https://image.tmdb.org/t/p/w500/8ekxsUORMAsfmSc8GzHmG8gWPbp.jpg,FALSE,7.845,13502,88.7854
1241982,Vaiana 2,"Tras recibir una inesperada llamada de sus antepasados, Vaiana debe viajar a los lejanos mares de Oceanía y adentrarse en peligrosas aguas perdidas para vivir una aventura sin precedentes.","{16,12,10751,35}",2024-11-21,https://image.tmdb.org/t/p/w500/b1WsCRfomw7tRi12NuseKsAJxYK.jpg,FALSE,7.075,2485,91.1579
757725,Shadow Force,"Con una recompensa por sus cabezas, la pareja formada por Omar Sy y Kerry Washington, huye con su hijo para escapar de su antigua organización: una unidad de operaciones en la sombra que ha sido enviada para liquidarlos.","{28,18,53}",2025-05-01,https://image.tmdb.org/t/p/w500/7IEW24vBiZerZrDlgLVSUU3oT1C.jpg,FALSE,6.418,79,83.3835
986056,Thunderbolts*,Un grupo de supervillanos y antihéroes van en misiones para el gobierno. Basado en la serie de cómics del mismo nombre.,"{28,878,12}",2025-04-30,https://image.tmdb.org/t/p/w500/cGOBis1KNC8AkYMcOEw4lCycfD1.jpg,FALSE,7.4,1141,85.2164
1396122,তান্ডব,,"{28,53}",2025-06-07,https://image.tmdb.org/t/p/w500/iplMLlXU1BgmTz4xviILTOlECYL.jpg,FALSE,8.75,4,73.4328
1241436,Warfare: Tiempo de guerra,"Basada en las experiencias reales del ex marine Ray Mendoza (codirector y coguionista de la película) durante la guerra de Irak. Introduce al espectador en la experiencia de un pelotón de Navy SEALs estadounidenses. Concretamente en una misión de vigilancia que se tuerce en territorio insurgente. Una historia visceral y a pie de campo sobre la guerra moderna y la hermandad, contada como nunca antes: en tiempo real y basada en los recuerdos de quienes la vivieron.","{10752,28}",2025-04-09,https://image.tmdb.org/t/p/w500/i0vm0Iot5gN8XfhzZIWeoOX7rcw.jpg,FALSE,7.188,597,81.8966
